channelId,channelName,assignedLabel,method,topScore,secondScore,margin,description
UC1s_8hYVql2DuDmwuBt9yJA,Aus Flight Simmer,Aviation,scored,36.8,0,36.8,"Welcome to the Aus Flight Simmer channel - This channel is for the everyday flight simmer. This is where we fly, create & inform and entertain.
Weekly content includes: Microsoft Flight Simulator News videos, (yes every week) Stream Wendesday and Saturdays and flight sim reviews from hardware, aircraft to your local aiport."
UCgMQxnLWLE8YSLFnH9SHmHQ,Blaze Grubbs,Aviation,scored,12.8,0,12.8,"Welcome to my YouTube Channel! 

I am a 21-year-old multi-engine commercial pilot with an IRA from the Northern California Area. I have experience flying the SF50, PC12, SR22T, DA42 and CJ1. 

My goal with this channel is to help promote general aviation all while hopefully helping others on the way. I am not flight instructor but for me...watching people fly helped me with my flight training! 

Welcome aboard and thanks for watching."
UCrjya2B7Cd1yZWV1liFtnOA,Brian Murray,Aviation,scored,12.8,0,12.8,Pilot. Creator. Software Engineer.
UCgJ5K7wWoFlnYC3e8eIxYrA,Drone U,Aviation,scored,12.8,0,12.8,"Lower your learning curve and take flight with competence and confidence. From Part 107 instruction to methods of turning your toy (drone) into a tool, Drone U has the largest library of online drone courses.  If you're ready to take flight above and beyond the competition, you can only learn from experienced pilots.  With over a decade of experience, learn to take flight confidently at Drone U."
UCDjvi-_c_ffte2LaNaE2j8g,F-22 Demo Team,Aviation,scored,36.8,0,36.8,The official YouTube Channel for the F-22 Raptor Demonstration Team.
UC_Oz4jIU_rSmXaBH69kmddw,Johnny Davidson - Drumming & Hang Gliding,Aviation,scored,12.8,0,12.8,"Thanks for visiting my YouTube Channel. Please subscribe, like and share. Your support is inspiring!

*Tribute to RUSH - Drum Cover Project available now!

*Also check out some amazing Hang Gliding Flights as well. Enjoy the amazing views as my co-pilot :-)

If you would like to support my channel; please consider sending tips or donations via:
Venmo - @theJohnnyDavidson
PayPal - PayPal.me/TheDavidson5
Cash App - $TheJohnnyDavidson

Please HELP ME beat the evil YouTube algorithm by subscribing, sharing & liking my content.....Thank you and Rock On!"
UCQaqi80QVyIhFQ6HZTXCeOg,King County Sheriff Air Support,Aviation,scored,36.8,0,36.8,King County Sheriff's Office Air Support Unit
UCwpHKudUkP5tNgmMdexB3ow,Mentour Pilot,Aviation,scored,36.8,4.800000000000001,31.999999999999996,"Welcome aboard, on my channel I will give you my point of view from inside the airline industry! Everything from descriptions of Aviation accidents and Incidents to procedures and hints about how to access the industry will be covered. 
Feel free to suggest content! 
Enjoy!"
UCV6hWxB0-u_IX7e-h4fEBAw,Reed Timmer,Aviation,scored,12.8,11.200000000000001,1.5999999999999996,"Hi, I’m extreme meteorologist and storm chaser, Reed Timmer, known for embedding myself into some of the most severe weather storms and scenarios imaginable, so that I can research, report and warn others before natural disasters strike.

While most prefer to avoid the bad news that comes with bad weather, I charge towards it; intercepting tornadoes and hurricanes with my armored vehicle, the SRV Dominator, and launching trackable meteorological sensors into their strongest winds. My team has deployed probes into tornadoes using drones, small aircraft, and even rockets, gathering measurements never-before-recorded on earth. Documenting all things related to atmospheric science is my passion.

I’ve been featured on the Discovery Channel, National Geographic, Netflix, The Weather Channel, Disney, PBS, AccuWeather and more! I’ve been featured on Jay Leno’s Garage, and worked with the legendary Richard Hammond, from Top Gear & Grand Tour. It’s insane where my weather career has taken me."
UCyHaY6HrTUWNWA3bN26esUA,AdEspresso,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"Manage your Facebook Ads in less time using AdEspresso. Key features of our platform are:
1) Create campaigns
2) Analyze your campaigns
3) Optimize your campaigns
4) PDF reporting
5) Data Sync.

Start your free trial today: https://adespresso.com/join/"
UC5l7RouTQ60oUjLjt1Nh-UQ,AI Revolution,Business & Marketing,scored,12.8,9.2,3.6000000000000014,"The ultimate AI media channel for the greatest advancements in artificial intelligence, where we break down complex concepts into digestible content.

📩 Brand Deals & Partnerships: me@faiz.mov
✉️ General Inquiries: airevolutionofficial@gmail.com"
UCED3hlYdD0SlCff7jJ8tF3Q,AI Samson,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"I help you to adapt, create, and thrive in the era of AI.

AI is transforming the way we create, work, and live. On this channel, I’ll guide you through the fast-moving world of AI, helping you explore its creative potential, understand its impact on design and entrepreneurship, and embrace its possibilities without fear. Together, we’ll uncover how to use AI to unlock new opportunities, push boundaries, and shape the future.

We explore the world of AI and its impact on design, entrepreneurship, and beyond! I'm Samson, a designer and AI enthusiast on a mission to uncover the most innovative AI tools and techniques that are revolutionizing the design industry. Join our growing community of AI and design enthusiasts by hitting the subscribe button and never miss an update on the latest AI tools, trends, and insights! 🔔
#ai
#midjourney #aiart #stablediffusion #chatgpt #ai #aidesign #aivideo 

Contact 

aisamsoninfo@gmail.com

For business enquiries 

NT2sNsNv"
UCnM9I0mYTFSO3wkfof7oUvA,Alex Ford,Business & Marketing,scored,12.8,4.800000000000001,8,"Welcome to my YouTube channel & podcast!

For over a decade, I've been a digital marketing trainer helping people to find ways to make a full time income online and fire their boss.

On this channel, I help you to build a highly profitable online business, grow your income, and set yourself (and your family) financially free!

Every week, I bring you interviews with top earners in the industry that are CRUSHING IT with their businesses. Plus, free trainings so you can get more leads & sales, and ultimately make more money!

So whether you're just starting out with an online business, or you've been at it for a while, I've got you covered with helping you take your business to the NEXT LEVEL!

Here's how to get started:

⚡️ FREE EBOOK: How to Build A 6-Figure Online Business In Your Spare Time (Even If You're Brand New!):

➡️ AlexFordBook.com

Keep crushing it — talk soon!"
UC7o7gV3iTgpvXqdyThjevsg,ASICentral,Business & Marketing,scored,12.8,4.800000000000001,8,"The online home of the Advertising Specialty Institute, the largest media and marketing organization serving the ad specialty industry. ASI's mission is to bring together promotional products industry professionals (distributors, suppliers, etc ...) by providing catalogs, information directories, newsletters, magazines, Web sites and databases, and offering interactive e-commerce, marketing and selling tools."
UCXfC0B4gKbYEDYqValFg4Yw,Barry KDP,Business & Marketing,scored,36.8,0,36.8,I help KDP publishers launch and scale profitable books with my  Profitable Publisher System
UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"Whether you’re into recent discoveries, space exploration, true stories, fitness, fun tests, and riddles, or useful tips for self-improvement, psychology, gadgets, or just your day-to-day routine, there’s something for everyone!

You can expect all that and more coming at you in 3 top-quality videos every single day. If you’ve got a thirst for knowledge that never quits, then join a community of tens of millions and growing! We have a good time, so take your shoes off, kick back, and make yourself at home here on the Bright Side of life!

Good news! We launched a new app for you 👉 http://bit.ly/Bs3App7
Join the world's largest community of good people! 😉

For brand partnership enquires: brands@thesoul-publishing.com"
UCFCDEaQC9NqzYDTxwTejlDg,Butcher Wizard,Business & Marketing,scored,12.8,4.800000000000001,8,"The Butcher Wizard Channel focuses on showing viewers how to butcher large cuts of meat so that they can save money and make better meals.  The channel not only has videos about butchery but also recipe videos that follow using the cut of meat that we worked on.  I am a classically trained chef and have also worked as a butcher.  This channel combines my love of cooking and my love of meat butchery.  I hope you enjoy.

If you are a brand wanting to advertise on the channel please email here:  rishab@smallscreenmarketing.com"
UC-dmJ79518WlKMbsu50eMTQ,Clark Kegley,Business & Marketing,scored,12.8,4.800000000000001,8,"Hey, I'm Clark. Creator, entrepreneur, YouTuber, and the dude who’s helping you create a life that’s less ‘meh’ and more ‘hell yes.’

My job is to help you reinvent yourself… but not in the way you might think. Most advice treats you like a self-improvement project that needs fixing—but you’re not broken, and you never were. Real change has nothing to do with complicated productivity hacks or perfect 5AM routines.

It’s not about becoming someone else… it’s about unlocking the 2.0 version of you that’s already inside, waiting to be set free.
Because when you shift who you are, everything else—your confidence, relationships, and career—falls into place.

Ready to step into your 2.0 self? 

Let’s make it happen for you 👊"
UCaL1DGiCW-HVgqeaLuHUfJA,Cloud Based Real Estate Brokerage with Jesse Dau,Business & Marketing,scored,12.8,4.800000000000001,8,"Hey! My name is Jesse Dau and I am a licensed Real Estate Agent & Team Leader with eXp Realty.

Before real estate, I spent 15 years in Corporate America. One day I quit, cold turkey.

Within 5 years my real estate business surpassed $100 million annually.

How did I see such explosive growth? 

1.) Building the most trusted YouTube for Real Estate brand ""CHANNEL JUNKIES"" in the real estate industry and leaning into it. 

2.) Aligning with a brokerage that shared our vision and goals. I was reluctant to explore eXp Realty before we made the move because my EGO made me think I knew what was best.... 

Since our specialty is YouTube, I wanted to create a YouTube channel that realtors can get real information without feeling the pressure of being recruited.

If you do have further question about eXp Realty, feel free to book a private session:

BOOK A LIVE ZOOM CALL HERE W/ JESSE (YES ITS ME) 📲 https://calendly.com/jessedau/expzoom

eXp
License# 201222305"
UCXyqlW3MOTbhpQIMapXMOSQ,Content Creators,Business & Marketing,scored,12.8,8,4.800000000000001,ContentCreator.com was founded to help people master the art of shooting and editing videos in the fastest timeframe possible! Not to mention we also love helping creators monetize their skillsets to earn a full-time living online. The brand was founded by Anthony Gallo (@_AnthonyGallo) & Paul Xavier (@MrPaulXavier).
UCghY41qySm6IMH9VbRvf9VA,CopyandContentAI,Business & Marketing,scored,12.8,4.800000000000001,8,"Imagine AI that’s SO powerful, it writes ALL of your customized sales copy and content FOR YOU (based on your specific customer avatar)…with the click of a button! 

CopyandContent.AI has a unique combination of tools, technology, and training unmatched by the abilities of ANY “AI Robot” or “Chatbot” solution anywhere…

Unlike ChatGPT and other “Robots” that either spit out what they want, or force you to become a “prompt engineer” and figure out how to execute extremely complex prompts and programming, the Genies dial in exactly what you want with total control! 

Getting the targeted, custom sales copy and content you need is as easy as filling out a form and whacking a button!

#copy #content #ai #aitools #aibusiness #businesstools #contentmarketing #contentcreation #contentcreators"
UCA-mWX9CvCTVFWRMb9bKc9w,Dan Martell,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"My #1 passion is teaching.

#2 is building AI businesses.

I’ve built and exited 3x tech companies.

Invested in 100+ others.

Spend 98.2% of my time building AI startups at Martell Ventures (AI Venture Studio)

Wrote a WSJ best selling book https://www.BuyBackYourTime.com

Play life full out (wake surfing, snowboarding, mountain biking) at the highest level…

… and I love people and travelling the world with my family training and speaking on the biggest stages.

Oh, and did all that after ending up in jail and rehab at 17 years old.

It’s been a journey to say the least. 

If you want help growing your business, DM me ""Coach"" on Instagram and I'll see if you're a fit.

https://www.instagram.com/danmartell/"
UC1CAa_tjoI4-bEsEjxvHJXQ,Dane McBeth Publishing,Business & Marketing,scored,12.8,4.800000000000001,8,"Founder of PaysToPublish.com and living in British Columbia, Canada. 

I make videos based around self-publishing books and online entrepreneurship.

Want to learn how to get started with online publishing? Get started here: www.PaysToPublish.com"
UCNawoJ4W-TZHiD6UTPGIiAQ,Digital Feast Studios,Business & Marketing,scored,12.8,0,12.8,"Creative Marketing Agency // Allentown, PA
Artists and storytellers crafting beautiful & engaging work.
Imagine. Create. Reach. Grow."
UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"Gary Vaynerchuk is a serial entrepreneur and serves as the Chairman of VaynerX, the CEO of VaynerMedia, and the Creator and CEO of VeeFriends. Gary is considered one of the leading global minds on what’s next in culture, relevance, and the internet. Known as “GaryVee,” he is described as one of the most forward thinkers in business. He is a prolific angel investor with early investments in companies like Facebook, Twitter, Tumblr, Venmo, Snapchat, Coinbase, and Uber.

In addition to running multiple businesses, Gary documents his daily life as a CEO through his social media channels, which have more than 45 million followers and garner over 300 million monthly impressions/views across all platforms. Gary serves on the board of MikMak, Bojangles Restaurants, Global Citizen Forum, and Pencils of Promise. He is also a longtime Well Member of charity: water."
UCpBvckYg2UXArcfzRcjpPjw,Helium 10,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"Introducing Helium 10. 

Powered by sellers like you, we started with just one mission in mind: to make running businesses on Amazon easier. 

From one tool we’ve evolved to a complete platform.  And now the industry’s first all-in-one Amazon software gives you the power to do everything— product research, keyword searches, listing optimization, analytics, marketing, and running your business in half the time. 
But our one-stop business solution goes beyond software. 

We strive to always do more for you, and we do. With world-class, live customer support, cutting-edge training, resources, and a community of experts, Helium 10 has everything your business needs and more."
UCgBg0aacyJnw4qUnb1FlfEQ,Institute of Human Anatomy,Business & Marketing,scored,12.8,1.6,11.200000000000001,"🧠 The Institute of Human Anatomy (""IOHA"") is a private human cadaver laboratory that educates health, fitness, and medical professionals on human anatomy and physiology using real human cadavers.

🏫 IOHA was founded in 2012 by Jeremy Jones and Jonathan Bennion, two brothers-in-law with a passion for helping people. Jeremy is an entrepreneur, and Jonathan is a licensed and actively practicing P.A. in urgent care with over 17 years of experience teaching anatomy and physiology.

🌍 Our mission is to help people live longer, healthier, better lives by teaching as many people as possible about the anatomical wonders of the one thing we all have in common: our amazing bodies!"
UC0aNNLyM8FveAGEeaOND10A,Jahin Shahriar,Business & Marketing,scored,12.8,0,12.8,"Free Shopify Templates 👇

For business and other inquiries: Jahinshahriar@gmail.com

This channel is all about Web Design , Ecommerce Business. I will upload video contents which can add value to your Ecommerce Business , Help you to learn something new And my personal opinions to create a perspective.

If I am a stranger to you, let me introduce myself. I am Jahin Shahriar, currently working as a Freelance Web Designer for web agencies and In freelance markeplaces From Sylhet, Bangladesh. I love to make videos on the techinical issues of web design in an easily understandable way. Stay tuned with me to get some knowledge. Thanks for Reading"
UCMb0O2CdPBNi-QqPk5T3gsQ,James Hoffmann,Business & Marketing,scored,12.8,8,4.800000000000001,"Hi! My name is James, and I make videos about anything and everything to do with coffee, occasionally food and sometimes business/entrepreneurship. I create how-tos, guides, reviews, vlogs, video essays and mini-documentary films. In the real world, I've started a few companies, I wrote ""The World Atlas of Coffee"" and ""How To Make The Best Coffee At Home"". I do a little advisory work for startups too.

If you want to get in touch, drop me a line but please read these two things first:

1. I don't do paid reviews. I have a Patreon that helps me buy the products I want to review to prevent bias (then I give them away!)
2. I get a lot of email, so sadly I can't help with queries about which equipment you should buy.

TO GET IN TOUCH PLEASE REACH OUT VIA WEBSITE: https://www.jameshoffmann.co.uk/contact-me
Management: Ziggurat XYZ"
UCSm7riYU-NTWWFlG9XJBcRA,Jason Lee,Business & Marketing,scored,12.8,4.800000000000001,8,"Hi, I’m Jason Lee. 
I share business ideas and smart ways to make money without burning out. If you're a founder, creator, or solo builder who wants more freedom, not more hustle, this channel’s for you."
UC8Sh9yuLqlpnQdBdcfwFErA,Just One Dime,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"I started with a single dime. 

$24,000 in debt, stressed out in my marriage, and sick of spending my days building someone else's dream, I felt purposeless, tired, and unfulfilled. One day I had enough, fired Apple, and became my own boss. 

People laughed and thought I was crazy. But I refused to give up. Through millions of failures along the way, I turned a single dime into $104,857.60. Today, a self made millionaire, I have five passive income streams that free me to spend time with the people I love and go on adventures I never could before. 

💪 If you are dead serious about creating cash flow and having margin to do the things you love with the people you love, I and my team of bad ass coaches can help. 💪

We are a growing network of entrepreneurs in 90+ countries, impacting the world by helping those in need, investing in opportunities and new ideas, creating wealth, and living a life of meaning. 

🔥 Apply for a free consultation 👉 https://jod.com/apply"
UCcFfP0Px7cO3h6BCZUpXUQQ,Keith Wheeler Books,Business & Marketing,scored,12.8,4.800000000000001,8,"Do you want to learn hints, tips and tricks to help make self-publishing and being an indie author just a little bit easier? Then you've come to the right place!

I'm real, folks! I work 40+ hours a week, have a wife, 4 kids, 3 grandchildren & still find time to write & self-publish books in multiple genres.

I cover KDP, ACX, Draft2Digital, Lulu, IngramSpark and a whole lot more.

I post new content every Friday.

Whether you're a new self-publisher or have been self-publishing books for years, there's always something new to learn.

Some of the self-publishing content includes:

• Running Amazon Ads, 
• Self-Publishing children's books, 
• How to make money self-publishing puzzle books,
• What are Kindle Short Reads,
• And much more.

So, if you want to learn all of the hints, tips and tricks to make self-publishing easier to navigate through, then subscribe and hit the bell icon so you can get notified every time I post new videos."
UC_fXTGbg6ck3BU6X65e3sag,Kendrick's Gear Journal,Business & Marketing,scored,12.8,0,12.8,"In my career as a photographer and video producer, I use and evaluate a lot of gear. I believe in getting the right tools for the job. So on this channel, I like to share my thoughts on some of the gear I use and find interesting enough to share. 

I own Vertical River, a video marketing agency in Atlanta, GA. I'm married to the lovely @jen_9thhouse and we love to travel any chance we get. Been shooting photos and videos for 22 years.  

You can find me all over the internet as @kendrickdisch. 

Subscribe here: https://www.youtube.com/c/Kendricksgearjournal?Sub_confirmation=1

Affiliate Disclosure:
Some of the links in the description are affiliate links, which means I may earn a small commission if you make a purchase (at no extra cost to you).

Kendrick’s Gear Journal is also a participant in the Amazon Services LLC Associates Program, an affiliate advertising program that allows creators to earn fees by linking to Amazon.com and related sites."
UCFbtcTaMFnOAP0pFO1L8hVw,Kyle Hill,Business & Marketing,scored,12.8,0,12.8,"Award-winning science educator. Nuclear communications expert. BASILISK Head of Science Education and Outreach. CFF Dogs of Chernobyl charity ambassador. Video game science advisor. Voice actor. 

""Very interesting!"" - International Atomic Energy Agency
“A sexy vampire…a legend.” - Post Malone

Kyle Hill
PO Box 350 
North Hollywood, CA 91603"
UCz8K1occVvDTYDfFo7N5EZw,Law&Crime Network,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"Law & Crime is the leading multi-platform network that covers live court video, high-profile criminal trials, crazy crime, celebrity justice, and smart legal analysis. Created by TV’s top legal commentator and attorney, Dan Abrams, Law & Crime brings common sense written and video analysis to the often confusing and always intriguing world of the law. The network's team of journalists and lawyers provide real-time news updates along with live courtroom coverage of the most fascinating trials and legal stories. Watch the courtroom drama unfold live by tuning in at 9am ET each morning M-F. 

For Advertising Inquiries, Please Contact: sales@lawandcrime.com
For Licensing Inquiries, Please Contact: licensing@lawandcrime.com

Watch Law&Crime on over 50 different video platforms: https://lawandcrime.com/where-to-watch/

READ MORE GREAT ARTICLES FROM LAW&CRIME NETWORK HERE:
https://lawandcrime.com

A Dan Abrams Production."
UCui4jxDaMb53Gdh-AZUTPAg,Liam Ottley,Business & Marketing,scored,12.8,3.2,9.600000000000001,"I’m an AI entrepreneur from New Zealand. In early 2023 I created the 'AI Automation Agency' or 'AAA' model based on my learnings at my own agency Morningside AI.

On this channel I share my learnings from running my own AI Automation Agency, AI SaaS and from helping my community of over 200,000 AI Automation Agency owners to start and scale their own AI business.

My mission is to inspire others to take advantage of the incredible AI opportunity by documenting my journey as an AI entrepreneur."
UCKHO2e2sy2wqu1Ch8j7zfrA,Lisa  Life and Style,Business & Marketing,scored,12.8,1.6,11.200000000000001,"My name is Lisa & I am the force behind the influential beauty & fashion page previously LisaSz09.  Founded in 2008 as an outlet for my passion for products, LisaSz09 quickly became a place to help others find their Style & Confidence in themselves.  
My mission is to help the Over 40 woman find items that make her feel amazing in her own skin. Through testing products & trying on new fashion to create outfits for your everyday life, no matter what that may look like. 
I was born & raised in the small (1st) state of Delaware, I grew up as a tomboy who also had a love of taking risks & trying new things.
After moving to Maryland in 2001 I spent years working in various forms of marketing careers, however after marrying my husband (Marty) & having my son (MJ) I made the decision to focus my marketing background in to creating online content to help other women.
I am now focusing on helping the over 40 woman who is not your typical size 0 find products and fashion they love!
Cheers- Lisa"
UCcNrmSXswsMJzuaSQknziTw,Make Money Matt,Business & Marketing,scored,36.8,4.800000000000001,31.999999999999996,"My name's Matt Par and on this Make Money Matt channel I share strategies on how to grow on YouTube and build a digital career. If you're looking for legitimate ways to work from home, make sure to subscribe!"
UCsPpLcxHv5XJw4Rx5GALUjg,MarketingBlocks AI,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"MarketingBlocks is the World’s First Agentic AI Growth Engine built for Experts, Coaches, & Founders.

Imagine having a fully automated AI team that shows up EVERY DAY to grow your authority, attract leads, and drive sales without hiring, burnout, or juggling complex tools.

Your AI agents plan, create, design, and publish 100+ pieces of on-brand content weekly. Posts, reels, carousels, landing pages, lead magnets & more, so you stay visible, trusted, and selling on autopilot.

Over 40,000 coaches, consultants and entrepreneurs have already used MarketingBlocks to increase their visibility, grow their audiences, and scale their revenue.

What used to take weeks with staff, freelancers, and multiple apps is now done for you in minutes by AI.

Create your free account today 👇"
UChYHKRass0kZvBkVKQuZElQ,Matt Gray,Business & Marketing,scored,12.8,4.800000000000001,8,"Want to scale your business? Let's chat ↓

Book a Call for Founder OS: https://fos.now/yt-train

Proven systems to grow a profitable audience with content. 

Want my free playbook to grow your profitable personal brand? Get it here: https://fos.now/yt-newsletter

Over the last 15 years, I’ve built 4 successful companies and a community of over 14 million people.

My mission is to inspire 100 million founders to live their dreams through proven systems.

I help entrepreneurs remove themselves from operations, scale with content and an engaged audience, and automate core systems.

I build personal brands using systems, storytelling, and AI. New videos weekly on scaling, mindset, and simplifying success."
UCLAEBQMxxwE6gNy13q_rdcg,Matt Lorion,Business & Marketing,scored,12.8,4.800000000000001,8,"Gen Z entrepreneur, first million at 17 years old. Featured on CNBC, now teaching other's how to become financially free. Born and raised in Massachusetts USA, currently living in South Florida. Skipped college to pursue my dreams and help others do the same.

Business inquiries: matt@lorionenterprises.com"
UChpleBmo18P08aKCIgti38g,Matt Wolfe,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"Exploring the capabilities of AI and the latest tech

Discover More:
🛠️ Explore AI Tools & News: https://futuretools.io/
📰 Weekly Newsletter: https://futuretools.io/newsletter
🎙️ The Next Wave Podcast: https://youtube.com/@TheNextWavePod

Socials:
❌ Twiter/X: https://x.com/mreflow
👍 Facebook: https://www.facebook.com/mattrwolfe
🖼️ Instagram: https://instagram.com/mr.eflow
🧵 Threads: https://www.threads.net/@mr.eflow
🟦 LinkedIn: https://www.linkedin.com/in/matt-wolfe-30841712/

Let’s work together!
- For brand, sponsorship, and business inquiries: mattwolfe@smoothmedia.co"
UCmIxjdhwpUI5lDoslfDqcPQ,Money on The Side,Business & Marketing,scored,12.8,4.800000000000001,8,"My name is Ben and I teach aspiring entrepreneurs how to build a semi passive Amazon KDP business.

As living expenses continue to rise, now is the perfect time to start earning some extra money on the side!
I have reached financial freedom and I would love to help others do the same.

I will be revealing more of my income streams as my channel grows so stay tuned!

Feel free to follow my other social media channels. I look forward to connecting with you.

“Results have very little to do with goals and nearly everything to do with systems.”"
UCs26XZBwrSZLiTEH8wcoVXw,Moz,Business & Marketing,scored,12.8,0,12.8,"Moz: Marketing Analytics Software for SEO, Links, Social, and Brand • A Vibrant Online Marketing Community • Resources for Learning Inbound Marketing"
UCl-Zrl0QhF66lu1aGXaTbfw,Neil Patel,Business & Marketing,scored,12.8,0,12.8,Learn digital marketing in just 5 minutes a day.
UCbo-KbSjJDG6JWQ_MTZ_rNA,Nick Saraev,Business & Marketing,scored,12.8,11.200000000000001,1.5999999999999996,"Hi 👋 I'm Nick. I make money with AI & teach others how they can too.

I'm not the best in the world, nor are my accomplishments the most impressive... but some people think I have interesting things to say! To that end, this channel is a way to organize my thoughts and provide a guidepost for people that want to grow or build an online business. 

You'll find marketing guides, Make.com guides, Integromat guides, Zapier guides, sales guides, and really anything I find interesting on a day-to-day basis. I'm Make.com & N8N certified and use it often as part of my businesses, so you'll see a lot of that too.

If you have any questions, feel free to ask and I'll happily respond in the comments. Thanks for reading."
UCxMoaKZtWKFuHGr7LIInOOQ,Nick Stephenson,Business & Marketing,scored,12.8,8,4.800000000000001,"I'm a USA Today Bestselling author of fiction (thrillers and sci-fi), non-fiction, and I also teach authors how to find their first 10,000 readers. I also run a software company that helps authors build beautiful, conversion-optimised websites.

^^ If you're looking for a way to age horribly in record time, definitely start a software company...

This channel covers all the fun stuff - how to write a novel (without wanting to drive your head through your desk), how to grow an audience, advertising strategies, and email marketing tips. If your an author - or aspiring author - you'll find something here to help. 

If you'd like to get a free 90 minute workshop on ""the three steps of author marketing"" and learn a process to start building your audience by this time next week, head on over here: https://www.yourfirst10kreaders.com/find-10k-readers/"
UCUowDOg5xfSWV0hUYeUUbfw,Notepirate,Business & Marketing,scored,12.8,0,12.8,"Learn Financial Accounting, Managerial (Cost) Accounting, Intermediate Accounting and Corporate Finance with Notepirate. Short videos, fast paced and clear illustrative examples! Our brand intends to cover every relevant topic which will allow students to prepare to become future CPA's (Certified Public Accountants). The material is perfect for high school, college and university business students.

Our main website is located at: http://www.notepirate.com"
UCK5-hzSvMAPSSo2vH_LtNKw,Quazi Johir,Business & Marketing,scored,12.8,0,12.8,"I started this channel in 2018, when I was deeply frustrated with the thought of working a 9-5 corporate job for the next 40 years, only to enjoy my life after I retired...

Within 2 years of starting this channel and sharing all of the principles I share, I was not only able to make enough to quit my job, but made my first $1M in 2020, at the age of 23.

On this channel, I share my lessons in entrepreneurship, life & the deeper principles that govern reality.

My hope is you will apply these teachings to reach the freedom I have been able to reach.

It's your birthright."
