cluster_id,cluster_label,id,title,description_snippet,sim,confidence,videoCount
c08,Products / Time / Step,UCwicfou4Ewu-koikmga-bEg,AI In Context,"AI is now everyone's problem. Let me catch you up.  I'm Aric. AI is fast-moving, confusing, and suddenly everywhere. It's tempting to tune out of the discussion, but I think it's never been more important to tune in. I want to share with you what I've learned about what's ahead: the upsides, the risks, and why we can't afford to put off thinking about them.  This show is produced by 80,000 Hours, a nonprofit that helps people figure out how to use their time to make the transition to a world wit…",0.226,0.117,16
c05,Business / Digital / Inquiries,UC5l7RouTQ60oUjLjt1Nh-UQ,AI Revolution,"The ultimate AI media channel for the greatest advancements in artificial intelligence, where we break down complex concepts into digestible content.  📩 Brand Deals & Partnerships: me@faiz.mov ✉️ General Inquiries: airevolutionofficial@gmail.com",0.167,0.101,647
c09,Get / Podcast / Business,UCED3hlYdD0SlCff7jJ8tF3Q,AI Samson,"I help you to adapt, create, and thrive in the era of AI.  AI is transforming the way we create, work, and live. On this channel, I’ll guide you through the fast-moving world of AI, helping you explore its creative potential, understand its impact on design and entrepreneurship, and embrace its possibilities without fear. Together, we’ll uncover how to use AI to unlock new opportunities, push boundaries, and shape the future.  We explore the world of AI and its impact on design, entrepreneurship…",0.21,0.085,786
c05,Business / Digital / Inquiries,UCnM9I0mYTFSO3wkfof7oUvA,Alex Ford,"Welcome to my YouTube channel & podcast!  For over a decade, I've been a digital marketing trainer helping people to find ways to make a full time income online and fire their boss.  On this channel, I help you to build a highly profitable online business, grow your income, and set yourself (and your family) financially free!  Every week, I bring you interviews with top earners in the industry that are CRUSHING IT with their businesses. Plus, free trainings so you can get more leads & sales, and…",0.355,0.121,220
c07,Make / Matt / Money,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,"Founder Acquisition.com, Co-Founder Skool.com. My new book $100M Money Models is out. [3.6M copies sold] Get yours now at https://go.acq.com",0.198,0.063,3965
c10,Photography / Tutorials / Nick,UC3N1BvkmnYWqa3SSthhzReA,Allan Walls Photography,"The Allan Walls Photography channel is all about helping ordinary people get the very most out of their photography. Videos cover all kinds of photography related topics, but we spend a lot of time talking about macro and close-up photography. The format varies and includes tutorials, reviews, commentary, live chat sessions, and much more. We cover a lot of ground, and the videos are often very detailed, but we also like to have fun. You really should check it out!",0.413,0.327,574
c01,David / Elizabeth / Gravelle,UCv42RmpB6iwadGz6n818l6w,Alter Bridge,~ The Official Channel Of Alter Bridge ~  What Lies Within Tour ~ Tickets and VIP Experiences are on sale now at https://alterbridge.com,0.133,0.106,52
c01,David / Elizabeth / Gravelle,UCDBrVr0ttWpoRY-_yZajp2Q,alyankovic,Comedy / Parody / Satire,0.13,0.103,146
c09,Get / Podcast / Business,UC34AYD6is66Xpv6HPRB0Miw,AM/PM Podcast,"Welcome to the AM/PM Podcast Youtube Channel.   In every corner of the world, people are embracing entrepreneurism. There have never been more opportunities, tools, or methods for building a business that operates on auto-pilot, in the AM and the PM. Join host Tim Jordan as he chats with communities, risk takers and business veterans exploring their stories, journeys and insights.   Created to get current entrepreneurs, inspiring entrepreneurs or people who just love business, this podcast will …",0.422,0.248,670
c13,News / Military / China,UCORX3Cl7ByidjEgzSCgv9Yw,Anastasi In Tech,"Podcast on the future of technology.  Please double-check that you’ve subscribed — it really helps us keep going. Thank you!  If you represent a brand and want to collaborate, please reach out to anastasi@ycaagency.com Otherwise here is my assistant's email - info@anastasiintech.com",0.169,0.073,92
c01,David / Elizabeth / Gravelle,UCXUPKJO5MZQN11PqgIvyuvQ,Andrej Karpathy,,0.13,0.13,17
c09,Get / Podcast / Business,UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman,"The Huberman Lab podcast is hosted by Andrew Huberman, Ph.D., a neuroscientist and tenured professor in the department of neurobiology of ophthalmology, and by courtesy, psychiatry and behavioral sciences at Stanford School of Medicine. The podcast discusses neuroscience and science-based tools, including how our brain and its connections with the organs of our body control our perceptions, our behaviors, and our health, as well as existing and emerging tools for measuring and changing how our n…",0.174,0.138,401
c03,Com / Www / Facebook,UCP0z2BisC_uuJGDk90gs2yA,Arc De Soleil,- Official channel for Arc De Soleil -  ---------------------------------------- www.arcdesoleil.com instagram.com/arcdesoleil www.facebook.com/profile.php?id=61559057244939,0.373,0.336,94
c01,David / Elizabeth / Gravelle,UC-smeLB9AnOTeypr1YyjJ3A,ARTE Concert,,0.13,0.115,1453
c05,Business / Digital / Inquiries,UC1LpsuAUaKoMzzJSEt5WImw,Asianometry,"Video essays on business, economics, and history. Sometimes about Asia, but not always.   For general mail: hello@asianometry.com For business inquiries: business@asianometry.com  I don't have an Asianometry Telegram. Don't fall for comment scams on YouTube, please.",0.225,0.136,640
c05,Business / Digital / Inquiries,UC7o7gV3iTgpvXqdyThjevsg,ASICentral,"The online home of the Advertising Specialty Institute, the largest media and marketing organization serving the ad specialty industry. ASI's mission is to bring together promotional products industry professionals (distributors, suppliers, etc ...) by providing catalogs, information directories, newsletters, magazines, Web sites and databases, and offering interactive e-commerce, marketing and selling tools.",0.183,0.098,3641
c04,Accounting / Healthy / Cpa,UCe0TLA0EsQbE-MjuHXevj2A,ATHLEAN-X™,"Welcome to ATHLEAN-X™ on YouTube!  This is where you can find all the latest FREE workouts, nutrition and training advice to get you on your way to a healthy, leaner,  more muscular, athletic body by training like an athlete.  Learn from the physical therapist and strength coach Jeff Cavaliere, exactly what he does with his professional athlete and celebrity clients.  Put the science back in strength to build muscle, keep your muscles and joints healthy and to improve your overall athleticism.  …",0.356,0.264,1632
c06,History / World / Every,UC1s_8hYVql2DuDmwuBt9yJA,Aus Flight Simmer,"Welcome to the Aus Flight Simmer channel - This channel is for the everyday flight simmer. This is where we fly, create & inform and entertain. Weekly content includes: Microsoft Flight Simulator News videos, (yes every week) Stream Wendesday and Saturdays and flight sim reviews from hardware, aircraft to your local aiport.",0.178,0.134,1267
c09,Get / Podcast / Business,UCgyvzxg11MtNDfgDQKqlPvQ,AuthenTech - Ben Schmanke,"Authentic reviews of Tech = AuthenTech. Exploring innovative and exciting technology.   Business inquiries: yt @ authen.tech   == What is the meaning behind AuthenTech? -Life is congruent with what you believe. -I'm a Christian and my faith is at the center of everything I do. -My hope, joy, and identity is ultimately found in Jesus, not in the things of this world, as fun and cool as this tech can be. -If we're living only for today, there is no purpose to this life. But with eternity at hand, …",0.188,0.066,1151
c14,Gardening / Garden / Show,UC0N-iKBpHZlhSFu6BqLsHWQ,AV-Ultra,"2010- 2015 I had the opportunities to train several Fortune 500 companies. Some of my clients include: Wells Fargo, Kohls, MGM Grand Resorts International, PBS, National Institute of Health, University of Wisconsin, while producing motion graphics for NBC, The Weather Channel.  2015-2018 I worked in the largest operating television studio in the Midwest at PBS Wisconsin in Madison. There I produced hundreds of sponsorship advertisements, and worked on Live and scripted broadcasts, earning an Emm…",0.168,0.081,78
c12,Cut / Pro / Final,UCHIRBiAd-PtmNxAcLnGfwog,B&H Photo Video Pro Audio,"We love what we do. We are both professional and avid photographers, filmmakers, and audio professionals. We enjoy getting out to explore the world as creators and teachers. On our channel, you’ll see videos, podcasts, and tutorials showing this passion for craft, as well as other artists that love what they do as much as we do.   Want to see more of something you love doing, or want to do better? Drop us a line at askbh@bhphoto.com  Head to our B&H Event Space YouTube channel for more seminars!…",0.287,0.16,5272
c10,Photography / Tutorials / Nick,UCXfC0B4gKbYEDYqValFg4Yw,Barry KDP,I help KDP publishers launch and scale profitable books with my  Profitable Publisher System,0.148,0.084,117
c11,Music / Jazz / Productions,UCZtDUmC3W7j25XHZWFT_XgQ,BBC Music,"BBC Music brings you the biggest artists in the world from the biggest events.  There's tracks from the legendary festivals like Glastonbury and Reading and Leeds,  sessions from emerging artists with BBC Music Introducing,  performances from the iconic Later… with Jools Holland series, unique performances from Radio 2 as well as moments from all of the other music content from across the BBC.   If you're making music, upload it at bbc.co.uk/introducing and let us hear what you have to offer. Yo…",0.349,0.283,6608
c09,Get / Podcast / Business,UCIXKkzlHjD1rUPOLRfJZvrg,Becki and Chris,"Becki's new channel:https://www.youtube.com/@beckipeckham  We're Becki and Chris, we produce content centered around our home renovation, DIY projects, and vehicle-based adventure filmmaking, creating unique series and films along the way.  Brand partnership inquiries: beckiandchrisvlog@gmail.com Services: https://www.beckiandchris.com/brands Social Media: https://www.beckiandchris.com/bclinksyt  ___________  Website: http://www.beckiandchris.com Twitter: https://twitter.com/beckiandchris  Insta…",0.234,0.116,455
c05,Business / Digital / Inquiries,UCAjSHLRJcDfhDSu7WRpOu-w,Ben Claremont,"Helping you make EPIC 360 content with Insta360 cameras 🤩🎥  Tutorials, gear reviews & creative ideas to take your 360 content pro — for social media or business.  💼 Business inquiries: business@benclaremont.com",0.304,0.169,316
c12,Cut / Pro / Final,UCQbfC3DLce4TYulsmwf2lzQ,Ben Halsall: Final Cut Pro & Adobe Tutorials,"I am a videographer, editor, university instructor & teach Final Cut Pro & Adobe workshops across Canada.  Videos are often answers to questions from students, clients & subscribers. Drop me a message to ask yours.  PRIVACY POLICY and FULL DISCLOSURE: °Ben Halsall is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees  by advertising and linking to amazon.com °Ben Halsall is a participant in …",0.303,0.185,631
c13,News / Military / China,UCBJh1lBd44OGUd5JrHZQvCQ,Best of The Voice,"The best Blind Auditions, Battles and performances of The Voice, all together in one place.  Which singers made the Coaches turn their red chairs? ✌️",0.13,0.071,1284
c05,Business / Digital / Inquiries,UCeqky0tc84Ezl0CYMW3xKkA,Best360,"Hey! 👋🤓 I'm Shanil, a London based video creator. My mission is to help you bridge the gap between the technology 📱 and your creativity 💡. So you can make videos that you are truly proud to post on social media 😏.",0.167,0.082,527
c13,News / Military / China,UCOWF2oK605qOVfkCy3we32g,BFBS Forces News,Welcome to Forces News!  If you enjoy our videos don’t forget to give them a like 👍 and subscribe to our YouTube channel with your notifications on! 🔔   📱 Find us on social media as ‘Forces News’.,0.327,0.261,7475
c08,Products / Time / Step,UCLv09ZbvDVctHv8zIE1hoTw,Black Tie Kitchen,"Welcome to Black Tie Kitchen, where I believe Low-Carb/Keto food should be simple, nutritious, and delicious! Join me as I post create and discover new recipes to make the best Low-Carb & Keto dishes around!   After years of stuffing my face with tortilla chips and pizza because I 'worked out' - I began to constantly feel like crap. My genetic predisposition to diabetes and general 'feeling' meant it was time to get serious about my diet and embark on the adventure of eating low-carb. I aim to m…",0.219,0.126,188
c10,Photography / Tutorials / Nick,UCgMQxnLWLE8YSLFnH9SHmHQ,Blaze Grubbs,"Welcome to my YouTube Channel!   I am a 21-year-old multi-engine commercial pilot with an IRA from the Northern California Area. I have experience flying the SF50, PC12, SR22T, DA42 and CJ1.   My goal with this channel is to help promote general aviation all while hopefully helping others on the way. I am not flight instructor but for me...watching people fly helped me with my flight training!   Welcome aboard and thanks for watching.",0.203,0.117,50
c05,Business / Digital / Inquiries,UCX_gtN8XsErdLPOUkEPaqiA,Blowout Professor,My Recommended Product List ⇢ https://blowoutprofessor.tiny.us/2p827m5j,0.121,0.096,232
c11,Music / Jazz / Productions,UCC4vs_6IdURyXrwYa74k-jw,Blues Lounge,"Blues Lounge channel is official music channel for a band performing under one alias - Brian Grey. The band first formed in late 2019 consisting of little known musicians and had major success releasing jazz albums for online steaming platforms, as an independent artist. In early 2021, the band had a guitar player joining them, allowing to further expand into different genres, creating Blues Lounge - Brian Grey. Blues genre being a natural next project, having similar historical heritage to jazz…",0.246,0.199,371
c03,Com / Www / Facebook,UCRvnaTGSZQe3xuiZZZVklZA,Bob Moses,Bob Moses Official YouTube Channel  Instagram: https://www.instagram.com/bobmosesmusic Facebook: https://www.facebook.com/bobmosesmusic Twitter: https://www.twitter.com/bobmosesmusic Twitch: https://www.twitter.com/bobmosesmusic,0.226,0.188,257
c11,Music / Jazz / Productions,UCxNZMlrLOGO88BnFwNYgEEA,Bobby Bass,"Hey! I'm Bobby Bass, a musician who's passionate about music and loves to create unique and creative arrangements. I'm grateful to be a part of several music groups, including ""The Bass Gang"", ""The Wellermen,"" and ""Pitch Slapped"", and I'm always excited to share my music with my viewers. My bass voice is just one of the many instruments I use to bring my music to life, and I'm grateful for the opportunity to share my love of music with others.",0.392,0.321,203
c12,Cut / Pro / Final,UCY2p6zqx9LcPZci4KNqkEBg,Brad West,"Hi, I'm Brad. I am a video editor and filmmaker, who has been editing for over 15 years. I love helping others to become better editors and to share my knowledge with other Final Cut Pro users.  Subscribe if you're into Final Cut Pro, video editing, filmmaking, photography and travel. See you in the next video!",0.414,0.281,214
c05,Business / Digital / Inquiries,UC3stPIuUoCDHG7COfwr0tEA,Brandon Li,I'm a nomadic filmmaker on an endless world tour.  Most of my main projects are on Vimeo. This is my channel for experimenting with new ideas. Business inquiries: business@unscripted.com Please no gear questions via direct message or email Unscripted Studio: https://myfilm.school/youtube-invite All my gear: https://unscripted.com/gear Filmmaking FAQ: https://unscripted.com/faq My Vimeo page is better: https://www.vimeo.com/rungunshoot My homepage: https://brandonli.com Facebook.com/rungunshoot i…,0.232,0.123,248
c12,Cut / Pro / Final,UC_0jev81m10XfTzggeae1Mg,BretFX,BretFX creates free & premium Final Cut Pro Effects and shares tips and tricks for using FCPX and Apple Motion. Check out trailers for BretFX products as well as tutorials for FCPX and Apple Motion.,0.286,0.218,93
c01,David / Elizabeth / Gravelle,UCONzk0OgGQC5HiQ7aEPjYyA,BRF Louisiana,,0.13,0.13,72
c09,Get / Podcast / Business,UCrjya2B7Cd1yZWV1liFtnOA,Brian Murray,Pilot. Creator. Software Engineer.,0.147,0.116,100
c13,News / Military / China,UCQANb2YPwAtK-IQJrLaaUFw,Brian Tyler Cohen,"Brian Tyler Cohen is one of the most viewed independent progressive political hosts on YouTube. Subscribe for daily breaking news clips followed by in-depth commentary; interviews with top figures (including President Biden, Kamala Harris, Bernie Sanders, AOC, Elizabeth Warren, Jamie Raskin, Pete Buttigieg, Mark Cuban, Jen Psaki, Rachel Maddow, Nancy Pelosi, and many more); weekly video podcasts for a deep-dive into the week's most important stories; legal analysis on ""The Legal Breakdown"" with …",0.269,0.158,5929
c05,Business / Digital / Inquiries,UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,"Whether you’re into recent discoveries, space exploration, true stories, fitness, fun tests, and riddles, or useful tips for self-improvement, psychology, gadgets, or just your day-to-day routine, there’s something for everyone!  You can expect all that and more coming at you in 3 top-quality videos every single day. If you’ve got a thirst for knowledge that never quits, then join a community of tens of millions and growing! We have a good time, so take your shoes off, kick back, and make yourse…",0.235,0.108,10470
c03,Com / Www / Facebook,UCxWulY15ahTxS0VieQp-HPg,Brody Dolyniuk,"Welcome to Brody Dolyniuk’s channel. I’ll upload things I hope you’ll find interesting...cover songs, technical how-to videos, My car projects, etc. www.BrodyDolyniuk.com",0.27,0.234,121
c12,Cut / Pro / Final,UCAG3VrzHOmnNjrDeOpcZfFQ,Brooke C,Playing along to some of my favorite songs on here! Thanks for stopping by! Don’t forget to subscribe to see more drum covers! Add me on Instagram!! @rockangel_ .  Proudly use and endorse…  Meinl Cymbals  Pearl Drums  Evans Drumheads  Vater Drumsticks Humes and Berg Drum Cases .  Try Drumeo FREE for 30 days!  https://drumeo.pxf.io/c/5010867/1928448/14652,0.16,0.113,158
c14,Gardening / Garden / Show,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,"The official YouTube channel of Bruno Mars.   Subscribe for the latest official music videos, live performances, official audio, and more: https://Atlantic.lnk.to/BMsubscribe   15x GRAMMY Award winner and 27x GRAMMY Award nominee Bruno Mars is a celebrated singer, songwriter, producer, and musician with iconic hits like ""The Lazy Song"", ""That's What I Like"", ""Just The Way You Are"", ""24K Magic"", ""Locked Out Of Heaven"", and ""When I Was Your Man"". His legendary body of work also includes blockbuste…",0.139,0.015,104
c08,Products / Time / Step,UCZRp6-Xvzo_dBFvt9L7y3Qw,Build Great Products,"Helping you go from big idea to profitable app with AI. 🚀  For the last 15 years I've been designing digital products and advising startups on design and I want to help you build the next big app with AI. Welcome to the Build Great Products YouTube Channel with Chris Ashby (Agency founder, startup advisor and ex-product designer). The next wave of incredible companies are built with AI at their core. What will you build?",0.287,0.142,212
c08,Products / Time / Step,UC9xpl8LyFRsKXASGHBBj_xQ,Building Integrity,Building Integrity is an educational channel covering current events and lessons in the engineering and construction industry.  The purpose of Building Integrity is to elevate the practice of construction throughout the industry by educating the general public and contractors alike. We trust you will find our videos as entertaining as they are informative.,0.183,0.105,63
c01,David / Elizabeth / Gravelle,UCNWb1R70xnomfDf6Iu0uZ2Q,Burkland Gardens,"Burkland Gardens is a plant nursery in Washington state specializing in dwarf and unusual conifers owned by Travis and Jessi McNeal. Travis' father, Gil McNeal, is our grower and nursery manager and previously owned and operated Perennial Lawn and Garden, a landscaping company that served the greater Seattle area for more than 20 years.  We offer a wide variety of dwarf conifers in our online store and by appointment. You can shop online at the link below, or contact Gil gil@burklandgardens.com …",0.146,0.076,94
c07,Make / Matt / Money,UCFCDEaQC9NqzYDTxwTejlDg,Butcher Wizard,The Butcher Wizard Channel focuses on showing viewers how to butcher large cuts of meat so that they can save money and make better meals.  The channel not only has videos about butchery but also recipe videos that follow using the cut of meat that we worked on.  I am a classically trained chef and have also worked as a butcher.  This channel combines my love of cooking and my love of meat butchery.  I hope you enjoy.  If you are a brand wanting to advertise on the channel please email here:  ri…,0.221,0.137,157
c14,Gardening / Garden / Show,UCARXOI1UlItgIevoI5jZViQ,CaliKim29 Garden & Home DIY,"If you're looking to grow fresh, organic food in simple and cost-effective ways, CaliKim is your go-to guide for all things gardening!  Whether you're a beginner or a seasoned gardener, regardess of your location, or the size of your gardening space, CaliKim is passionate about helping you grow a thriving garden.  Together with her husband, Jerry (aka CameraGuy), CaliKim co-owns CaliKim Garden and Home DIY, Inc., a family business committed to empowering individuals worldwide to grow their own f…",0.44,0.332,1840
c11,Music / Jazz / Productions,UC6MvbqzzXu9E6SWM2Jf-g_Q,Calum Graham Music,"This Canadian fingerstyle guitarist has enthralled millions of listeners around the world with his signature playing style which has led to tours across America, Europe, Australia and China. He is also considered one of the World’s Top 30 Guitarists under 30 by Acoustic Guitar Magazine.   www.calumgraham.com",0.283,0.179,128
c13,News / Military / China,UCl3lEILSFI3InXa5C__Phug,Cambridge University Cosmology,"The Centre for Theoretical Cosmology (CTC) was established by Professor Stephen Hawking in 2007. It exists to advance the scientific understanding of our Universe, taking forward the vision of its founder. It is part of the Department of Applied Mathematics and Theoretical Physics (DAMTP) at the University of Cambridge.  This channel contains videos intended for a popular audience. For more specialist videos, please see the link below.",0.145,0.104,12
c11,Music / Jazz / Productions,UCMJecdKUslHToOEpeuRGwXg,Candyrat Records,Candyrat features extraordinary Guitarists and Composers.,0.122,0.11,1233
c05,Business / Digital / Inquiries,UCx8Thl4BbkOwslTGXzPJx0A,Captain Steeeve,Follow us on all our social media channels:  FB: Captain Steeeve Insta: @officialcaptainsteeeve TikTok: Captain Steeeve,0.124,0.095,812
c11,Music / Jazz / Productions,UC_hOdGU7CK_jfckv2C6kmFA,Chill Guitar Music,"🎸 Chill Guitar Music is your go-to destination for smooth jazz, chillhop, and jazzhop, featuring relaxing guitar solos by the talented Sebastien Zunino.  🎶 Every track is crafted to bring you peaceful, feel-good vibes—perfect for studying, working, or simply unwinding after a long day. ✨  Our music combines soothing guitar melodies with mellow beats to create the ultimate chill atmosphere. Whether you're looking for background music, something to relax to, or just want to vibe to smooth jazz gui…",0.399,0.351,75
c13,News / Military / China,UCwjvvgGX6oby5mZ3gbDe8Ug,China Insights,"Dear viewers, our program has moved to the new channel “Sound of Hope”! “China Insights” is now renamed “China X-Ray,” bringing you more exciting content. Please subscribe, share, and watch!",0.195,0.144,1057
c13,News / Military / China,UCT2kPBcD6tXn8TP_aV7BmgA,China Observer,"This channel brings the audience first-hand news from China and exclusive analysis.  For business cooperation, please contact us: business@chinaobserver.co",0.253,0.151,3175
c14,Gardening / Garden / Show,UCRte954rw0oeMWFroy_ClAw,Chris Hau,I like to talk about tech & travel and reminding people to create the things they actually want.   @TheChrisHau on all socials,0.161,0.029,382
c05,Business / Digital / Inquiries,UCrPUg54jUy1T_wII9jgdRbg,Chris Ramsay,"Here you'll find Magic, Puzzles, Vlogs and a combination of all three. For business contact Chrisramsay@spacestation.com",0.19,0.084,1057
c08,Products / Time / Step,UC-dmJ79518WlKMbsu50eMTQ,Clark Kegley,"Hey, I'm Clark. Creator, entrepreneur, YouTuber, and the dude who’s helping you create a life that’s less ‘meh’ and more ‘hell yes.’  My job is to help you reinvent yourself… but not in the way you might think. Most advice treats you like a self-improvement project that needs fixing—but you’re not broken, and you never were. Real change has nothing to do with complicated productivity hacks or perfect 5AM routines.  It’s not about becoming someone else… it’s about unlocking the 2.0 version of you…",0.244,0.115,290
c01,David / Elizabeth / Gravelle,UC-eicAkiRdGLguiS1dS_N9Q,Clay Hayes,"We make the best traditional archery, bow building, recurve bow hunting, bushcraft, and survival skills videos on the web. Join Clay, Liz, and the kids on outdoor adventures from bowhunting deer and elk in the Idaho mountains to chasing wild hogs in Florida to practicing bushcraft and survival skills. We hunt and fish because we love to but it's also how we get the majority of our meat. Hunting is how we live. We also grow a big garden on our Idaho homestead. That, in combination with hunting, f…",0.148,0.071,473
c01,David / Elizabeth / Gravelle,UCaL1DGiCW-HVgqeaLuHUfJA,Cloud Based Real Estate Brokerage with Jesse Dau,"Hey! My name is Jesse Dau and I am a licensed Real Estate Agent & Team Leader with eXp Realty.  Before real estate, I spent 15 years in Corporate America. One day I quit, cold turkey.  Within 5 years my real estate business surpassed $100 million annually.  How did I see such explosive growth?   1.) Building the most trusted YouTube for Real Estate brand ""CHANNEL JUNKIES"" in the real estate industry and leaning into it.   2.) Aligning with a brokerage that shared our vision and goals. I was relu…",0.165,0.058,53
c06,History / World / Every,UC83jt4dlz1Gjl58fzQrrKZg,CNA,"Welcome to the official CNA YouTube channel.  Based in Singapore, CNA covers global developments with an Asian perspective. Come to us not just for the latest news, but also documentaries, expert analysis and stories behind the headlines.  Our correspondents are based in major cities across Asia, including Kuala Lumpur, Jakarta, Bangkok, Tokyo, Seoul and Beijing, as well as in New York, Washington D.C. and London.  Hit the subscribe button to be notified when we upload fresh news clips and docum…",0.202,0.083,47699
c01,David / Elizabeth / Gravelle,UCHF66aWLOxBW4l6VkSrS3cQ,Coachella,"April 10-12 & April 17-19, 2026 🪁 2026 Passes are Sold Out",0.137,0.12,1077
c11,Music / Jazz / Productions,UCKvKjZ3l9azWz4F49q2R3tQ,Coffee Relaxing Jazz,All music in this video and on this channel is original music by Coffee Relaxing Jazz.,0.311,0.268,130
c01,David / Elizabeth / Gravelle,UCrk7jhruZVuLshUNh1qUi4g,COGconnected,"COGconnected is your go to spot for news, reviews, videos, previews and editorials on all things gaming with a little geek culture thrown in for good measure. From indies to the big guns, this team of 30+ writers is dedicated to honest coverage that readers can trust. We all remember why we started playing games – they’re fun – and we strive to keep that spirit alive in everything we cover.",0.173,0.083,2367
c06,History / World / Every,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,"Hi, my name is Dagogo Altraide and I create and narrate all the videos on here. This channel aims to let you experience the cutting edge of the world around us in a relaxed atmosphere. Learn the captivating stories about how our world came to be and also learn what's happening in the cutting edge today.  --- New Thinking Book written by Dagogo Altraide --- Learn the stories of those who invented the things we use everyday. This book is rated the 9th best technology history book of all time by Bo…",0.23,0.118,542
c08,Products / Time / Step,UCDUhp92NhqVc0K3jSmWhgvA,Comedy Dynamics,"Comedy Dynamics, a Nacelle company, is the largest independent stand-up comedy production and distribution company. Its independent archive, the largest in existence, is available only on planet Earth.",0.182,0.124,4059
