id,title,description,umbrella,subcluster,assigned_via,sim,videoCount
UCv7ayuEI595kZglwebEWWWw,Adam Taylor // Architecture Photography Resources,"I am an interior and architecture photographer based in Oahu, Hawaii. I am also a photography educator with online workshops, courses, and downloads available to help others in their journey. This channel is currently used to host educational resources for interior, architecture, and real estate photographers.",Unclassified,,lexicon,0,151
UCv42RmpB6iwadGz6n818l6w,Alter Bridge,~ The Official Channel Of Alter Bridge ~  What Lies Within Tour ~ Tickets and VIP Experiences are on sale now at https://alterbridge.com,Unclassified,,lexicon,0,52
UCXUPKJO5MZQN11PqgIvyuvQ,Andrej Karpathy,,Unclassified,,lexicon,0,17
UCP0z2BisC_uuJGDk90gs2yA,Arc De Soleil,#NAME?,Unclassified,,lexicon,0,94
UC-smeLB9AnOTeypr1YyjJ3A,ARTE Concert,,Unclassified,,lexicon,0,1453
UC0N-iKBpHZlhSFu6BqLsHWQ,AV-Ultra,"2010- 2015 I had the opportunities to train several Fortune 500 companies. Some of my clients include: Wells Fargo, Kohls, MGM Grand Resorts International, PBS, National Institute of Health, University of Wisconsin, while producing motion graphics for NBC, The Weather Channel.  2015-2018 I worked in the largest operating television studio in the Midwest at PBS Wisconsin in Madison. There I produced hundreds of sponsorship advertisements, and worked on Live and scripted broadcasts, earning an Emmy nomination for an animation created entirely in Unreal Engine 4.  2018-2020 Instructor for MVFX / …",Unclassified,,lexicon,0,78
UCXfC0B4gKbYEDYqValFg4Yw,Barry KDP,I help KDP publishers launch and scale profitable books with my  Profitable Publisher System,Unclassified,,lexicon,0,117
UCBJh1lBd44OGUd5JrHZQvCQ,Best of The Voice,"The best Blind Auditions, Battles and performances of The Voice, all together in one place.  Which singers made the Coaches turn their red chairs? ✌️",Unclassified,,lexicon,0,1284
UCeqky0tc84Ezl0CYMW3xKkA,Best360,"Hey! 👋🤓 I'm Shanil, a London based video creator. My mission is to help you bridge the gap between the technology 📱 and your creativity 💡. So you can make videos that you are truly proud to post on social media 😏.",Unclassified,,lexicon,0,527
UCX_gtN8XsErdLPOUkEPaqiA,Blowout Professor,My Recommended Product List ⇢ https://blowoutprofessor.tiny.us/2p827m5j,Unclassified,,lexicon,0,232
UC_0jev81m10XfTzggeae1Mg,BretFX,BretFX creates free & premium Final Cut Pro Effects and shares tips and tricks for using FCPX and Apple Motion. Check out trailers for BretFX products as well as tutorials for FCPX and Apple Motion.,Unclassified,,lexicon,0,93
UCONzk0OgGQC5HiQ7aEPjYyA,BRF Louisiana,,Unclassified,,lexicon,0,72
UCrjya2B7Cd1yZWV1liFtnOA,Brian Murray,Pilot. Creator. Software Engineer.,Unclassified,,lexicon,0,100
UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,"Whether you’re into recent discoveries, space exploration, true stories, fitness, fun tests, and riddles, or useful tips for self-improvement, psychology, gadgets, or just your day-to-day routine, there’s something for everyone!  You can expect all that and more coming at you in 3 top-quality videos every single day. If you’ve got a thirst for knowledge that never quits, then join a community of tens of millions and growing! We have a good time, so take your shoes off, kick back, and make yourself at home here on the Bright Side of life!  Good news! We launched a new app for you 👉 http://bit.l…",Unclassified,,lexicon,0,10470
UC9xpl8LyFRsKXASGHBBj_xQ,Building Integrity,Building Integrity is an educational channel covering current events and lessons in the engineering and construction industry.  The purpose of Building Integrity is to elevate the practice of construction throughout the industry by educating the general public and contractors alike. We trust you will find our videos as entertaining as they are informative.,Unclassified,,lexicon,0,63
UCl3lEILSFI3InXa5C__Phug,Cambridge University Cosmology,"The Centre for Theoretical Cosmology (CTC) was established by Professor Stephen Hawking in 2007. It exists to advance the scientific understanding of our Universe, taking forward the vision of its founder. It is part of the Department of Applied Mathematics and Theoretical Physics (DAMTP) at the University of Cambridge.  This channel contains videos intended for a popular audience. For more specialist videos, please see the link below.",Unclassified,,lexicon,0,12
UCMJecdKUslHToOEpeuRGwXg,Candyrat Records,Candyrat features extraordinary Guitarists and Composers.,Unclassified,,lexicon,0,1233
UCx8Thl4BbkOwslTGXzPJx0A,Captain Steeeve,Follow us on all our social media channels:  FB: Captain Steeeve Insta: @officialcaptainsteeeve TikTok: Captain Steeeve,Unclassified,,lexicon,0,812
UCT2kPBcD6tXn8TP_aV7BmgA,China Observer,"This channel brings the audience first-hand news from China and exclusive analysis.  For business cooperation, please contact us: business@chinaobserver.co",Unclassified,,lexicon,0,3175
UCRte954rw0oeMWFroy_ClAw,Chris Hau,I like to talk about tech & travel and reminding people to create the things they actually want.   @TheChrisHau on all socials,Unclassified,,lexicon,0,382
UCHF66aWLOxBW4l6VkSrS3cQ,Coachella,"April 10-12 & April 17-19, 2026 🪁 2026 Passes are Sold Out",Unclassified,,lexicon,0,1077
UCrk7jhruZVuLshUNh1qUi4g,COGconnected,"COGconnected is your go to spot for news, reviews, videos, previews and editorials on all things gaming with a little geek culture thrown in for good measure. From indies to the big guns, this team of 30+ writers is dedicated to honest coverage that readers can trust. We all remember why we started playing games – they’re fun – and we strive to keep that spirit alive in everything we cover.",Unclassified,,lexicon,0,2367
UCXyqlW3MOTbhpQIMapXMOSQ,Content Creators,ContentCreator.com was founded to help people master the art of shooting and editing videos in the fastest timeframe possible! Not to mention we also love helping creators monetize their skillsets to earn a full-time living online. The brand was founded by Anthony Gallo (@_AnthonyGallo) & Paul Xavier (@MrPaulXavier).,Unclassified,,lexicon,0,93
UCpHdE9yhgSuM4FezX8dmbPw,CPA Strength,Accounting For Beginners Playlist #AFB  Accounting Videos / Basic Accounting / I have a mapping system to keep Debits & Credits straight in your head / Tips on the CPA Exam / Powerlifting / living a healthy bodybuilding lifestyle / Quickbooks tips / Exercise /  Eating right and the positive effects it entails. I am A Licensed CPA in the State of Florida.  I am the Strongest CPA in Florida. I have a lot of fun making videos and helping people learn Accounting through concepts that i wish i knew when i was a beginner at Accounting.  I went to Community College at age 31 and 8 years later i have …,Unclassified,,lexicon,0,638
UCzOlf72W0G4SJBHu9HxR7ng,Crazy About Life,"Runner and Cyclist, decided to leave bad habits behind and started embracing healthy living. My wife and boy keeps me motivated.  Follow along, hopefully someone out there can be inspired!  Visit www.s4k.co.za to see some of the projects we are busy with. Any assistance will be highly appreciated.  Follow me on: Instagram: http://www.instagram.com/luvanbl  WSCP060",Unclassified,,lexicon,0,197
UCNf9HkMqlTFiick46DGXY7g,Damien Cooper,"Cinematography, lighting, dad jokes and all the real life struggles of being in the creative field",Unclassified,,lexicon,0,363
UCwjZLzqHYImv4oCJQcZ8Hig,Daniel Schiffer,Let's create.,Unclassified,,lexicon,0,256
UCNzszbnvQeFzObW0ghk0Ckw,Dave's Garage,"Windows History, Windows vs Linux Comparisons, Arduino Project Tutorials, Shop Projects, ESP32 Information, and more in Dave's Garage.  With DIY info and practical step-by-step tutorials.  From hobbyist to engineer, everyone is welcome!",Unclassified,,lexicon,0,509
UCKCS2T2uR_7h4zpVETbcFjg,David Bayer,,Unclassified,,lexicon,0,354
UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,"One of the most watched independent progressive programs in the country. Subscribe for daily new clips, interviews, debates, panels, and commentary. The daily video podcast goes live at 9pm Eastern time every weekday, and new clips are posted throughout the day.",Unclassified,,lexicon,0,40735
UCvKRFNawVcuz4b9ihUTApCg,David Shapiro,Liberate humanity from drudgery.,Unclassified,,lexicon,0,562
UCO01dS4TaSRSyOipXEYPL6Q,David Sharpe,"David Sharpe and the Legendary Marketer team deliver one-of-a-kind interviews that won’t be found anywhere else. On our show, Wake Up Legendary, we feature REAL people who’ve got REAL results with their online ventures. It’s hosted LIVE on Facebook every weekday at 10am EST on the Legendary Marketer Facebook Fan Page (legendarymarketer.com/live). All recordings are posted to this channel immediately after the live video has ended.",Unclassified,,lexicon,0,2051
UCobfgsTVhaIyIRAms-M4JWw,Deep Woods Custom Guitars,,Unclassified,,lexicon,0,8
UC8wXC0ZCfGt3HaVLy_fdTQw,Digital Trends,"Welcome to the official Digital Trends YouTube channel! Digital Trends was founded in 2006 with a simple mission: Give readers the tools and insight they need in order to navigate their increasingly digital world. With sneak peeks, one-of-a-kind reviews, editorials and news, we are your dependable guide to the ever evolving world around us. We live, love, and breathe tech so that we can explain it to you simply and clearly.",Unclassified,,lexicon,0,7506
UCyA6KQ8PgP98E0ToIdq8c7A,Dr. Alex Tubio,Houston Filipino Chiropractor   To schedule an appointment:  Visit: https://www.DrAlexTubio.com/ Email: DrTubio@gmail.com,Unclassified,,lexicon,0,1733
UCFAsatVhnrL8j7NXVWvK23A,Dr. Leo,"Welcome to my channel, where you can watch educational videos on the topics of weight loss and healthy lifestyle.  I achieved my Bachelor in Bioengineering in 2015 at the Norwegian University of Science and Technology, and my Medical Degree in 2019 at the Royal College of Surgeons in Ireland  You can also connect with me on TikTok, Instagram, Facebook @DrLeonardoVenaas",Unclassified,,lexicon,0,20
UCL4cw2w7kMcTpsqGMtzs02w,Dub Element,Dub Techno and Deep Progressive Techno Selection.,Unclassified,,lexicon,0,209
UCKUSu0zaUcTg0L6Bsxr51og,Editors Keys,Become a better content creator: https://www.youtube.com/editorskeys?sub_confirmation=1  https://www.editorskeys.com,Unclassified,,lexicon,0,709
UCskD50ri3723Tk1SkS-qAIA,El Estepario Siberiano,,Unclassified,,lexicon,0,915
UCgslJ2VwZHVxw-D095WQ3lQ,Elise Trouw,Multi-Instrumental Recording Artist Pearl + Paiste + Vater Endorsed Drummer,Unclassified,,lexicon,0,27
UCN7kH4qcPPPC_KWlX6Ze-Iw,Elizabeth G,,Unclassified,,lexicon,0,0
UCvrmr8Nfd86dG7pnSHC7c6Q,EllenPlaysBass,"13-year-old bass player from Las Vegas, Nevada. Started playing the bass in April 2020. The journey continues ...   Official Website:  www.EllenPlaysBass.com Contact: info@hovakalaverdyan.com",Unclassified,,lexicon,0,202
UCXAWX5r69jcqPTNAhXCSA7Q,Elon Musk Fan Zone,"The Elon Musk Zone YouTube Channel  — The Elon Musk Fan YouTube channel covering the latest Elon Musk news!  ⚠️ DISCLAIMER: THIS IS A FAN-MADE CHANNEL AND IS NOT AFFILIATED WITH ELON MUSK OR HIS COMPANIES ⚠️  💼 Copyright or other business inquiries: see email below.  We transform the original content from shows, podcasts, and keynotes with Mr. Elon Musk to provide the viewers with a more immersive experience.   We also make the messages of Elon Musk more accessible to people that are suffering from hearing disabilities by applying professional transcription to the majority of our videos.   We …",Unclassified,,lexicon,0,1016
UCVIo_UX--1R03WE_U3I6xEA,Engineered Arts,,Unclassified,,lexicon,0,87
UCzr30osBdTmuFUS8IfXtXmg,Essential Craftsman,"40+ years of building experience, all in one channel. Learn house-building, carpentry & construction, blacksmithing, safety & productivity,  how other trades & shops function, and maybe even how to be a better version of ourselves! The videos feature Scott Wadsworth covering a wide array of topics, tools, history, and lessons learned. The purpose of the channel is to showcase the knowledge that is gained through experience, and encourage respect for the craftsmen, their tools, and history.",Unclassified,,lexicon,0,880
UCzz4CoEgSgWNs9ZAvRMhW2A,Everything Electric CARS,"Visit our LIVE exhibitions in Australia, the UK, USA, Canada & Europe: https://fullycharged.live/ Check out our sister channel: @EverythingElectricShow ! Become a Patreon: https://www.patreon.com/fullychargedshow Become a YouTube member: use JOIN button above Subscribe to the Everything Electric CARS, Everything Electric TECH & Everything Electric APAC channels Subscribe for episode alerts and the Everything Electric newsletter: https://fullycharged.show/zap-sign-up/ Visit: https://FullyCharged.Show Find us on Twitter: https://x.com/Everyth1ngElec Follow us on Instagram: https://www.instagram.…",Unclassified,,lexicon,0,1066
UCDjvi-_c_ffte2LaNaE2j8g,F-22 Demo Team,The official YouTube Channel for the F-22 Raptor Demonstration Team.,Unclassified,,lexicon,0,43
UCHlHSn0iwyYJg9LQETZ5R_Q,Four80East,"Welcome to the official Four80East YouTube channel!  Four80East is an electro-jazz collective that’s all about the groove. Mixing jazz with other genres and underpinning it all with electronic production, the Canadian producer duo of Rob DeBoer and Tony Grace have created a signature bass-propelled sound that entrances listeners of their recordings and enthralls audiences at their live shows.",Unclassified,,lexicon,0,167
UCnvgtzmvlb6d58d9BbOKuMA,Fstoppers,"Subscribe to our channel here: https://www.youtube.com/@FStoppers?sub_confirmation=1   Fstoppers is a community of photographers and videographers aimed at helping you grow your photography business, make informed decisions when buying photography gear, understanding the latest editing software and lighting tools, and ultimately helping you get back to enjoying photography!  Fstoppers produces a lot of video content here on Youtube, but we also publish tons of daily content written by real, working professionals every day. Over the years we have also produced extended masterclass style video w…",Unclassified,,lexicon,0,946
UCR1LVH-teuA3-Kfy576TYSw,georgemichael,The official YouTube channel for George Michael.  Celebrating 40 years of Careless Whisper 🎷,Unclassified,,lexicon,0,101
UC9HFMty5k4jdj36wV4E4Iuw,Hidden Technology,"Tecnología Oculta es un canal de descubrimiento, de realidad, de verdades ocultas que te harán ahorrar mucho dinero en energía, conexión a internet, wifi, 4G, 5G, etc...  Hidden Technology is a channel of discovery, of reality, of hidden truths that will make you save a lot of money in energy, internet connection, wifi, 4G, 5G, etc...  DISCLAIMER: The Liberty Engine or other products featured in our videos are not for sale, they are only prototypes and we have never offered them for sale. Any website offering them for sale is not made by us and is a scam trying to use our names to steal your d…",Unclassified,,lexicon,0,258
UCpJ1vJPFqImom-NN2fkBS0A,HouseImprovements,I produce how-to DIY home improvement videos to help people of all skill levels. I've been a professional in the construction industry for decades and share my knowledge with you to empower DIYers.,Unclassified,,lexicon,0,484
UCeEqIv7lVwOOLnwxuuhQFuQ,Hugh Hou,"Kimchi & I make immersive films and teach what we learn - so you can tell stronger stories in 360° and VR180. I’m Hugh Hou, an Emmy-winning filmmaker, and this channel is where I share real-world camera tests, editing workflows, and behind-the-scenes lessons from the field. If you’re a creator, brand, or educator trying to level up in immersive video, you’re in the right place.  Expect practical tips, honest reviews, and step-by-step guides you can actually follow - plus a few experiments that push what’s possible on Apple Vision Pro, Meta Quest, and YouTube VR. New videos and Kimchi updates d…",Unclassified,,lexicon,0,1218
UCHsThxa9HvDpSywv4bP55NA,J. Gravelle,,Unclassified,,lexicon,0,99
UC-U0quP8-RF1pvyCessLg0g,Jake Sloan,"I review and compare cameras, lenses and drones in the harsh Alaskan wilderness.  Taking filmmaking and photography equipment out into the harsh but beautiful Alaskan wilderness I put cameras, lenses, drones and other related equipment to the test to see what survives, what is worth upgrading to, and where they fall apart. I also teach how to use it to capture incredible photos and videos so you can improve your photos and videos no matter where you are.",Unclassified,,lexicon,0,468
UCMb0O2CdPBNi-QqPk5T3gsQ,James Hoffmann,"Hi! My name is James, and I make videos about anything and everything to do with coffee, occasionally food and sometimes business/entrepreneurship. I create how-tos, guides, reviews, vlogs, video essays and mini-documentary films. In the real world, I've started a few companies, I wrote ""The World Atlas of Coffee"" and ""How To Make The Best Coffee At Home"". I do a little advisory work for startups too.  If you want to get in touch, drop me a line but please read these two things first:  1. I don't do paid reviews. I have a Patreon that helps me buy the products I want to review to prevent bias …",Unclassified,,lexicon,0,390
UCZG-C5esGZyVfxO2qXa1Zmw,Jared Polin,"Are you looking to take better photos? Are you not sure how to use your camera or simply want to pick up a few photography tips. If so, you've come to the right channel: FroKnowsPhoto.    If you're tired of boring YouTube Photography videos that rarely show the presenter actually taking photos then you've come to the right place. My goal is to make ""Fun and Informative"" videos to help photographers of all skill levels.   You will find new videos posted most days of the week. Some of my video series include ""Real World Reviews"" ""5 Min Portraits"" ""Photo News Fix"" ""Rapid Fire Critiques"" and much,…",Unclassified,,lexicon,0,3796
UCMlK5j8VTQHD21a79_cnZxA,Jasmine Hardie,I’m an outdoor enthusiast who aims to inspire you to get out and adventure. Come along on all the fun!,Unclassified,,lexicon,0,60
UCFIRm1Fv1VC4DZxmYyvNOTQ,Jeven Dovey,Helping you make better videos and tell interesting stories.  My name is Jeven Dovey.  I’m an adventure Filmmaker and I run a production company based out of Los Angeles.  This channel teaches you everything that I’ve learned from my years of creating for clients and making videos here on YouTube.  Lets Work Together!  Contact me here: https://www.jevendovey.com/contactme,Unclassified,,lexicon,0,997
UC_Oz4jIU_rSmXaBH69kmddw,Johnny Davidson - Drumming & Hang Gliding,"Thanks for visiting my YouTube Channel. Please subscribe, like and share. Your support is inspiring!  *Tribute to RUSH - Drum Cover Project available now!  *Also check out some amazing Hang Gliding Flights as well. Enjoy the amazing views as my co-pilot :-)  If you would like to support my channel; please consider sending tips or donations via: Venmo - @theJohnnyDavidson PayPal - PayPal.me/TheDavidson5 Cash App - $TheJohnnyDavidson  Please HELP ME beat the evil YouTube algorithm by subscribing, sharing & liking my content.....Thank you and Rock On!",Unclassified,,lexicon,0,444
UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,Independent journalist making videos that help you better understand the world Support my work here: https://www.patreon.com/johnnyharris Inquiries: newpress@unitedtalent.com,Unclassified,,lexicon,0,486
UC8Sh9yuLqlpnQdBdcfwFErA,Just One Dime,"I started with a single dime.   $24,000 in debt, stressed out in my marriage, and sick of spending my days building someone else's dream, I felt purposeless, tired, and unfulfilled. One day I had enough, fired Apple, and became my own boss.   People laughed and thought I was crazy. But I refused to give up. Through millions of failures along the way, I turned a single dime into $104,857.60. Today, a self made millionaire, I have five passive income streams that free me to spend time with the people I love and go on adventures I never could before.   💪 If you are dead serious about creating cas…",Unclassified,,lexicon,0,388
UCkUDijzPGiHVBSeOktgpMiQ,K9’s and Chaos,"Dedicated to all the K9 Warriors, who help protect our  Country and it’s communities. https://www.youtube.com/channel/UCkUDijzPGiHVBSeOktgpMiQ?sub_conformation=1",Unclassified,,lexicon,0,288
UCIma2WOQs1Mz2AuOt6wRSUw,KenDBerryMD,"Evidence-Based Nutrition + Ancestral Health  I’m Dr. Ken Berry, a Board Certified Family Physician, and the Proper Human Diet (PHD) is your roadmap to reclaiming your health. With over 20 years as a family physician, I’ve treated thousands of patients using real, practical advice grounded in research and ancestral wisdom.  No fluff—just straightforward guidance on how to use low-carb, keto, carnivore diets and lifestyle changes like intermittent fasting to tackle diabetes, obesity, hormone imbalances, and more.  Download your free PHD guidebook today and start making smarter choices.  👉 Downlo…",Unclassified,,lexicon,0,1972
UCnAGH-jp4YXl30rir1BPrxA,Keto Recipes,"Dr. Eric Berg is a chiropractor who has 30 years of experience in healthcare and specializes in healthy ketosis and intermittent fasting. You may know Dr. Berg from his popular YouTube channel (with over 13M subscribers) where he breaks down complex health topics into easy-to-understand, actionable information. Now, Dr. Berg is taking his knowledge of health and weight loss and is applying it to the kitchen. Along with his wife Karen, Dr. Berg is going to share delicious keto recipes that will help you and your family get healthy, lose weight, and feel great. With keto-friendly recipes coming …",Unclassified,,lexicon,0,296
UCQaqi80QVyIhFQ6HZTXCeOg,King County Sheriff Air Support,King County Sheriff's Office Air Support Unit,Unclassified,,lexicon,0,289
UCyKUfgfeRaCrqMr9b0UcSoQ,Kraken The Box,"YO HO ME HEARTIES!  Follow me, Captain Kori and me crew mate Pixi, as we discover the treasures to be found in the pirate wonderland of urbex, unboxing and adventures!!  Captain Kori Foundation Fund: https://gofund.me/2ce1b52e Channel Editors/Artist: https://linktr.ee/KuroCreates and https://www.youtube.com/results?search_query=the+crap+goth",Unclassified,,lexicon,0,177
UCW7bg34be3iNMXjPNctjYKA,KSENIA BUZINA,,Unclassified,,lexicon,0,21
UCSvCR76uY0R8mjVETskWRvg,Larry Jordan,"Nobody understands media production and and post-production like Larry Jordan.  Need training in Apple Final Cut Pro, Adobe Premiere Pro, or DaVinci Resolve? We got it.  Need tips on how to improve your business? We got it.  Looking for leading-edge interviews with key companies and thought leaders? We got it.  Larry Jordan: Helping media professionals find work, improve their skills and keep clients happy. Edit smarter with Larry Jordan.",Unclassified,,lexicon,0,1365
UCD5ZsXiIFlrWrbOCM6rEDKQ,Leonid & Friends,Leonid & Friends,Unclassified,,lexicon,0,168
UCq6TJZjUFp877PkgeJkETew,Lester Picker,"My Youtube channel is designed with thoughtful, passionate photographers in mind. With more than 50 years experience in photography, and numerous teaching awards, my goal is to help you excel. Included here are tips and techniques to help you improve, thought-provoking discussions, and answers to your photography questions.   I have more than 650 published articles and images in major national magazines, including National Geographic Publications and dozens of others. I am a Moab Master Photographer and am sponsored by Moab Fine Art papers & Canon Large Format printers. I was awarded the prest…",Unclassified,,lexicon,0,49
UCItFLm69UtzH5FYCnHJfAHg,LITTLE BIG BEAT STUDIOS,"LITTLE BIG BEAT STUDIOS offers high-end mixing and mastering plus filming and marketing services to artists, labels and brands of all sizes. If you're planning on recording an album (CD or vinyl) or shooting a video, just get in touch with us! © 2025 ALL RIGHTS RESERVED",Unclassified,,lexicon,0,393
UCZ2wHrgU2nr0CoO0KNSDV5g,Live Nation,We bring artists and fans together around the 🌎 through the power of live events 🎤 🎸🎶 Find upcoming tours near you at LiveNation.com,Unclassified,,lexicon,0,2164
UCOwiQHSjCZdLfurAAnh7v7w,LLTArchived2,,Unclassified,,lexicon,0,0
UCBeWUqDIm65lB9w9MuDAWrA,Locometric,,Unclassified,,lexicon,0,37
UCG2Any5yo0Lgiwf3o_GiF-A,Los Lonely Boys,Welcome to the Official YouTube Channel of Los Lonely Boys!,Unclassified,,lexicon,0,74
UCM05jgFNwoeXvWfO9GuExzA,Luke Beasley,The Luke Beasley Show is a political humor and commentary program! Videos posted daily.   Want to support what we do and gain access to the daily Main Show + Bonus Show? Become a member by clicking the join button!,Unclassified,,lexicon,0,5069
UCZrvodIV5I4meIJl8P2NF6A,Luke Million,Luke Million a.k.a. The Synth Lord,Unclassified,,lexicon,0,290
UCcNrmSXswsMJzuaSQknziTw,Make Money Matt,"My name's Matt Par and on this Make Money Matt channel I share strategies on how to grow on YouTube and build a digital career. If you're looking for legitimate ways to work from home, make sure to subscribe!",Unclassified,,lexicon,0,104
UCknsp0YMH7BwVes8_bwWpnw,Mark Harrison,"Welcome to my channel!   When browsing my channel, I hope you'll be motivated to  experience the world, try new things, and challenge yourself.  Enjoy and consider subscribing!",Unclassified,,lexicon,0,570
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,"Former NASA engineer. Current CrunchLabs founder and friend of science.  Answers to some common questions:  1) I make a monthly toy we build together on a video, that gets delivered to your house that teaches you to think like an engineer.  Check it out at- https://crunchlabs.com 2) I studied Mechanical Engineering in School.  I did my undergrad at BYU and Masters at USC. 3) I worked for NASA JPL for 9 years, 7 of which were working on the Curiosity Rover (I made a video about it you should def totes watch cause it's probably my favorite of all my videos).  Then I made some Halloween costumes.…",Unclassified,,lexicon,0,229
UChYHKRass0kZvBkVKQuZElQ,Matt Gray,"Want to scale your business? Let's chat ↓  Book a Call for Founder OS: https://fos.now/yt-train  Proven systems to grow a profitable audience with content.   Want my free playbook to grow your profitable personal brand? Get it here: https://fos.now/yt-newsletter  Over the last 15 years, I’ve built 4 successful companies and a community of over 14 million people.  My mission is to inspire 100 million founders to live their dreams through proven systems.  I help entrepreneurs remove themselves from operations, scale with content and an engaged audience, and automate core systems.  I build person…",Unclassified,,lexicon,0,910
UCwdVOry0oNF9WIe_3uCfz9Q,Matt's Off Road Recovery,"We do off road towing, recoveries, and rescues. We cover beautiful southern Utah, near Zion National park.  We have a unique way to do off road recovery with our Jeep XJ affectionately named, the yellow banana.  We have the infamous Ed with his positive outlook on life.  We treat everyone we meet with respect, and we hope to have a positive impact in your life! Please like, subscribe, and share. Thanks for watching!",Unclassified,,lexicon,0,978
UCFTEN8q_sQNHVENU4KcCMAA,Matthew Anderson,,Unclassified,,lexicon,0,87
UC45W_AtKcDxSmWR1s1xsLEg,Matthew O'Brien,"Final Cut Pro Tips, Tricks & Tutorials  Camera & Film Gear Reviews  Post-Production Workflows & Data Management  Insight and Conversation About How to Price Video Work  BTS of the Films & Videos I Produce  Business Inquires: info(at)midlandpictures(dot)com  Send Me Stuff:  Midland Pictures c/o Matthew O’Brien 1441 Mall Dr Ste 100 #188 Council Bluffs, IA 51503",Unclassified,,lexicon,0,369
UCeRxxz9ByOqdd8A-0iF_Idg,Mayday: Air Disaster,"Welcome to the OFFICIAL Mayday: Air Disaster YouTube Channel.  Mayday: Air Disaster is a dramatic non-fiction series that investigates high-profile air disasters to uncover how and why they happened. Mayday: Air Disaster follows survivors, family members of crash victims and transportation safety investigators as they piece together the evidence of the causes of major accidents. So climb into the cockpit for an experience you won’t soon forget.",Unclassified,,lexicon,0,1060
